"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"83","Kousséri",172774241.383919,0.00408012722629123,0.000308208537863327,0.000207813605087556,0.0823894023425404,72624370.1285854,95227777.8638388,208501664.196964,314600659.308659,639569273.924171
"84","Koutaba",107265081.247679,0.00411610540812631,0.00044043262336514,0.000282443111945496,0.109675123492289,33835602.7981504,54374147.3470754,117963879.669799,247423338.050282,513151374.716317
"85","Kribi1",625970715.213969,0.000247645511296076,6.84050007672417e-06,0.000397778030923109,0.0830865528085826,519837868.289704,482361551.221297,672011626.278745,1243078755.27519,2335250950.61342
"86","Kribi2",641259725.763935,4.35425295857988e-05,6.09779528471807e-07,0.000511073732460466,0.0758143452306117,355185647.648285,414216218.598556,710628297.721889,1121800883.488,2267367346.87134
"87","Kumba1",219379905.035737,6.46356989545704e-06,5.54485751059499e-08,0.000150101864751267,0.0223673798345567,122463113.41836,152214112.678852,221172462.183896,363776662.656385,834720956.28982
"88","Kumbo",577624158.652679,0.000536376753826531,1.61744466810239e-05,0.000481609250508583,0.0886597731452815,320599939.481307,379857539.378581,515524941.733497,859410765.592537,2559807762.97182
"89","KyéOssi",118550174.111836,0.00412651623044401,0.000796406830123891,0.00028009616915934,0.140900211627217,42140354.9792177,55022404.8211529,116948195.109653,283067520.865463,591290943.491474
"90","Lagdo",25692612.3884187,0.0010684220819931,0.00294269488723088,0.000434059210134105,0.0533980304269223,17916339.3275587,19826988.5228017,28946440.6197503,45512721.3362339,74090668.256972
"91","Limbé1",329807488.256973,2.5893881115359e-05,7.28453897584506e-07,0.000257296184007173,0.0395918904053108,193818732.402826,235103522.842817,332373575.240651,567880892.920268,1333423700.66424
"92","LogoneBirni",27304436.8324875,0.00253306090561225,0.00230946071843367,0.000551127102609796,0.0797119858079733,14862826.0472044,18261197.2843655,26056792.7583247,47436641.3773469,130903910.513897
"93","Lomié",54915581.5419597,0.00695897433035714,0.00224437656204083,0.000564148291036432,0.10983788988906,28299967.3669142,36233764.4951782,47290149.8923299,96540539.0417183,310919546.059991
"94","Loum",151091956.928023,0.000736943212650314,0.000268819633419358,0.00014887708854467,0.211812426975041,23840556.7979881,48081429.503268,202392726.550391,367707557.897233,639439763.115589
"95","Ma'an",58336134.616754,0.00709331505102041,0.0035486415913189,0.000444910162582166,0.0697842335977327,29968288.5489786,39159893.4274327,58487937.8481791,87380353.8559216,234765338.841538
"96","Madingring",22290438.7334588,0.00169703172831633,0.00152746232323705,0.000582372631093853,0.121879199286791,14836951.3792073,14075910.9405353,19861334.5011315,42872261.8734606,183028387.464119
"97","Maga",102031520.230253,3.75000000000001e-07,0.0125592873876477,1.1339875512552e-31,NA,102031520.230253,102031520.230253,102031520.230253,102031520.230253,102031520.230253
"98","Makak",186744743.548086,0.00540989795918367,0.000819300373257822,0.000447670277884242,0.20034693617087,72622569.9702324,99518410.6856192,225014588.484687,396439383.948418,946101002.701761
